,A,B,B&C,C,D,E,F,G,H,I,J,K
3.0,4377270,4978428,8211840,4907786,5102432,5230500,5139838,4978428,4978428,5528480,5294520,3438260
5.0,4434510,5043194,8316932,4971772,5169002,5299606,5208310,5043194,5043194,5195630,5363820,3483360
7.0,4490690,5106738,8423246,5035160,5033132,5166012,5171126,3927350,5106738,5261566,5431140,3528460
