,1,10,11,12,12A,14,15,16,17,18,19,2,20,21,22,23,24,25,26,26A,27,28,29,3,30,31,32,33,4,5,6,7,8,9
6.0,11245,11155,10216,10198,11155,11155,11475,11545,11155,11179,10852,9014,11166,11166,11408,11347,11136,10902,10902,11524,11166,11166,10720,11225,10423,11166,10939,11265,10677,11225,10630,10731,11201,11155
8.0,11389,11298,10338,10156,11298,11298,11436,11918,11298,11322,10981,9142,11310,11310,11088,11493,11279,11043,11043,11674,11310,11310,10865,11369,10551,11310,10910,11409,11130,11369,10864,10872,11345,11298
11.0,11605,11512,10528,10270,11512,11512,11652,11847,11512,11537,11191,11585,11524,11524,11877,11712,11492,11074,11074,11897,11524,11524,10861,11585,10743,11524,11119,11625,11324,11585,10897,11080,11561,11512
