,A,B,C,C & D,D,E,F
3.0,4467870,4126200,4402073,,4423820,3525368,3107412
8.0,4594970,4374750,4449120,,4640460,3635344,3215500
12.0,4731890,4505225,4572151,,4731890,3725260,3380464
