,A,B,B&C,C,D,E,F,G,H,I,J,K
3.0,530,611,1222,598,634,634,634,611,611,634,660,410
5.0,530,611,1222,598,634,634,634,611,611,634,660,410
7.0,530,611,1222,598,604,604,619,458,611,634,660,410
