,A,B,C,D,E,F,G,H,whole floor
4.0,10116,9868,10067,10122,10548,10544,11095,11186,10566
7.0,10309,10154,10260,10316,10750,10746,11307,10736,10768
10.0,10503,10346,10453,10510,10952,10949,11519,10938,10970
