,A,B,C,C1,C2,D,E,F,H,I,J,K,L,L1,L2
2.0,,,,978334,1439020,5096556,,,,,4364724,4364724,,1470039,1339492
4.0,,,,991270,1458160,5161680,,,,,4420416,4420416,,1489437,1357202
7.0,,,,1010576,1486540,5259768,,,,4306800,4503954,4503954,,1518534,1383690
