,A,B,C,D,D & E,E,F,H,J,K
4.0,,11128,9114,,,11320,12443,11320,12426,12653
7.0,,11337,8221,,,11546,12677,11546,12947,12891
10.0,,,8375,,,11771,12911,11771,13186,13129
