,A,B,C,D,D & E,E,F,H,J,K
4.0,,7288840,5969670,,,10697400,5848210,10697400,4908270,5124465
7.0,,7425735,8549840,,,10910970,5958190,10910970,5114065,5220855
10.0,,,8710000,,,11123595,6068170,11123595,5208470,5317245
