,1,10A,2,3,4,4A,5A,7,8,A,B,C,whole floor
3.0,4437888,4437888,5644128,3161048,5495536,5842880,5629780,4533880,5857878,4533880,,1417562,5029960
8.0,4569460,4569460,5822912,3269882,5675504,6028260,5807960,4668560,5791045,4668560,,1465310,5976180
13.0,4698492,4698492,6007616,3378342,5856064,6218600,5992630,4800640,6448351,4800640,,1513058,6041600
