,A,B,C,D,E,F,G,H,I,J,K,L
2.0,4163640,4306950,4309425,3457740,3496350,3457740,3457740,4175600,3241344,3371584,3279680,3117460
5.0,4239120,4395600,4387000,3962400,3564990,3524430,3524430,4259640,3291990,3436393,3343690,3177664
8.0,4317150,4484700,5218390,3963960,3954600,3963960,3963960,4112172,3369427,3521668,3410660,3242020
