,A,A & B,A-B,B,C,F.P.,R.P.,whole floor
6.0,6549440,9692100,9692100,5307705,6549440,6474960,4945473,8193554
10.0,6723264,9948420,9948420,5434598,6723264,6723264,5266898,8409666
14.0,6906400,10223430,10223430,5564845,6906400,6906400,5403294,8641363
