,A,B,C,D,E,F,G,H,I,J,J-K,JK,K,K & J
3.0,515,365,580,465,480,480,505,660,660,660,,,660,
6.0,515,365,580,465,489,480,505,660,660,660,,,660,
9.0,515,365,555,445,489,455,495,620,620,620,,,620,
