,A,B,C,C & D,D,E,F,G,H,H & I,I,J,JK,K,L,M,N,O,P,Q,R,S,T,U
3.0,13424,12826,11740,11538,11890,13097,13097,13097,13097,11538,13097,12766,10889,12243,12087,11596,11235,12112,12243,12161,12261,12173,13255,13055
7.0,13741,13099,13198,11652,12255,13018,13018,13018,13018,11652,13018,13055,11108,12533,12533,11875,11535,12398,12533,12451,12551,12459,13409,13153
11.0,14063,13511,12015,11901,12953,11923,12859,11699,11923,11901,11923,12046,11363,11923,12831,12803,11945,12816,12831,12355,12960,12883,13514,13435
