,1,10,11,12,2,3,4,5,6,7,8,9
4.0,13142,12988,13295,11045,13295,11136,11219,13421,13142,11285,13144,11010
8.0,13476,13293,13633,11957,13633,11430,11515,13757,13476,11915,13454,12332
11.0,13106,13037,13243,12186,13243,11643,11731,13508,13106,12142,12570,13069
