,A,B,D,E,F,G,H,I,J,K,L
2.0,7720515,7003960,7102875,7672005,7342550,7741000,7100100,7672005,7318370,6809715,6698325
4.0,7693785,7090900,7048935,7629435,7173450,7698000,7160360,7629435,7116740,6900300,6763425
6.0,7787340,6819040,6884325,7078500,7038075,7142500,7249140,7078500,6951300,6803280,6821085
