,1,10,11,12,13,14,15,16,2,3,4,5,6,8,9,A12,A4,A5,A7,A8
10.0,440,300,280,280,330,345,490,505,350,335,335,300,300,400,505,280,335,300,510,400
12.0,440,300,280,280,330,345,490,505,350,335,335,300,300,400,505,280,335,300,510,400
14.0,440,300,280,280,330,345,490,505,350,335,335,300,300,400,505,280,335,300,510,400
