,A,B,C,D,E,F,G,H,I,J,K,L
6.0,7464440,6730544,7381244,5870656,6911822,7094592,5859571,7408530,6252226,7191870,8199180,8199180
9.0,7612136,6863684,7527308,5984712,7045153,7234938,5973722,7659000,6375340,7334010,8361540,8361540
12.0,8010550,6993654,7671224,6095540,7174206,7372572,6084086,7689360,6494986,7473390,8521440,8521440
