,A,B,C,D,E,F,G,H,J
13.0,15114,18459,17367,19594,17216,17200,18223,18926,15873
22.0,15872,19798,18696,19892,18194,18613,19270,19879,17137
32.0,16888,20449,19126,20972,18624,19046,20430,20697,17698
