,A,B,C,D,E,F,G,H,I,J,K,L
2.0,8164,9571,8055,8866,8965,8866,8866,9490,8832,8896,8864,9010
5.0,8312,9768,8200,10160,9141,9037,9037,9681,8970,9067,9037,9184
8.0,8465,9966,9754,10164,10140,10164,10164,9981,9181,9292,9218,9370
