,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,26A,27,28,29,3,30,31,32,33,34,4,5,6,7,8,9
3.0,8977,10510,8730,9369,10675,8936,9294,9371,9560,8603,7902,8523,7862,8397,8870,8519,8606,8485,8985,,8365,8624,9028,8253,8444,8272,8777,10074,8856,8600,10044,9631,9082,8791,8914
8.0,9249,10815,9022,9708,11034,9040,9344,9853,9774,9936,8346,8798,8423,8676,8899,8756,8884,8826,9261,,8833,8654,9261,8798,8752,8552,9079,10391,8948,8884,10405,9943,9135,9039,9230
12.0,9540,8421,9246,9909,11287,9268,9563,9673,10116,8606,8606,9442,9473,9319,9052,8983,9615,9417,9480,,9482,9366,9480,9442,9009,8794,9461,10622,9180,9078,9473,10190,9367,9429,9455
