,A,B,C,D,E,E & F,EF,F
6.0,6160320,5103000,5125845,5544035,5331745,7561005,8152535,5344950
13.0,6708000,5319375,5132590,5784725,5576340,7917115,8548875,5571930
20.0,6980160,5539500,5351270,6031095,5819160,8273970,8967565,5801640
