,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R
3.0,3883495,3875380,3785470,3761420,3761420,3761420,3923790,3903120,4463550,3848862,4064175,3239810,3364480,3328640,3557640,3589950
6.0,3958185,3953820,3858360,3833570,3833570,3833570,3999450,3978000,4549500,3923538,4142340,3302120,3424000,3392960,3626640,3672200
9.0,4032490,4029300,3962330,3941610,3941610,3808780,4074330,4112160,4635450,3997071,4147200,3364430,3494400,3456960,3713925,3728550
