,A,B,C,CD,D,E,F,FG,G,H,J,K,L
16.0,7902570,5568420,5338880,10411240,4933950,4375056,4452822,8429190,5356275,5801796,5502376,5625312,4300812
36.0,,10961775,10454660,10875770,5788391,4757508,4982076,9218440,6157485,6331248,6110224,6260496,4581434
65.0,,,,,,,,,,,,,
