,A,B,C,D,E,F,G,H,I,J,K
4.0,324,282,282,282,337,265,275,282,273,273,347
8.0,324,282,282,282,300,265,275,282,273,273,347
12.0,324,282,282,337,300,265,275,282,273,273,347
