,A,B,C,D,E,F,G,H,I,J,K
4.0,4296564,3779646,3756522,3986070,4383696,3626790,3727350,3797130,3740373,3707067,4483934
8.0,4410936,3881166,3756240,3500184,4086300,3723515,3826900,3898650,3840564,3806166,4603996
12.0,4520124,3979020,3850710,4136338,4188600,3816795,3922875,3996504,3936660,3901443,4718853
