,A,B,C,C1,C2,D,E,F,H,I,J,K,L,L1,L2
2.0,,,,98,220,804,,,,,546,546,,183,154
4.0,,,,98,220,804,,,,,546,546,,183,154
7.0,,,,98,220,804,,,,740,546,546,,183,154
