,subjFloor,floorLv,unitNo,price,npsf,nfa
3.0/F低層A,3.0,低層,A,4886520,11364,430
7.0/F中層A,7.0,中層,A,5015950,11665,430
11.0/F高層A,11.0,高層,A,4786330,11131,430
3.0/F低層B,3.0,低層,B,4962045,11407,435
7.0/F中層B,7.0,中層,B,5093415,11709,435
11.0/F高層B,11.0,高層,B,4680600,10760,435
3.0/F低層C,3.0,低層,C,4962045,11407,435
7.0/F中層C,7.0,中層,C,5093415,11709,435
11.0/F高層C,11.0,高層,C,4762380,10948,435
3.0/F低層D,3.0,低層,D,4885230,11361,430
7.0/F中層D,7.0,中層,D,5031860,11702,430
11.0/F高層D,11.0,高層,D,4792350,11145,430
3.0/F低層E,3.0,低層,E,3627224,12422,292
7.0/F中層E,7.0,中層,E,3666060,12555,292
11.0/F高層E,11.0,高層,E,3446184,11802,292
3.0/F低層F,3.0,低層,F,3570868,12229,292
7.0/F中層F,7.0,中層,F,3666060,12555,292
11.0/F高層F,11.0,高層,F,3446184,11802,292
