,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,3,4,5,6,7,8,9,F12,F6
3.0,9173,9000,8843,9037,8945,9797,9733,10034,10437,10034,10034,9843,9474,9719,9431,9301,9164,9019,9301,9519,9431,9843,9843,9843,9154,9192,9192,9037,10009,10002
8.0,9318,9346,9130,9384,9290,10120,9736,10344,11435,10344,,10009,9783,10047,9652,9590,9496,9287,9443,9683,9652,10009,10009,10009,9489,9528,9528,9384,10189,10181
12.0,9105,10430,10253,9620,10213,10368,10531,10592,11734,10499,,11600,10022,10273,9893,9832,9775,9768,9741,9922,9893,10250,10250,,9737,8908,10515,10526,10407,10399
