,A,B,C,D,E,F,G,H,I,J,K,L,M
3.0,4174350,3821489,3821489,3830162,3837920,4134150,2881500,4948278,2643091,3647430,3375600,3190875,3142590
7.0,4274650,3922674,3922674,3932173,3939595,4230900,2969700,5060844,2716208,3718135,3454596,3276635,3203970
11.0,3938475,4025924,4025924,4035423,4043345,4342500,3106800,5176494,2784771,3816095,3548904,3361055,3355110
