,A,B,C,D,E,F,G,H,whole floor
3.0,9345,9271,9489,9502,10529,9253,9712,10420,7940
7.0,9602,9526,9729,9808,10826,9510,9985,10696,9596
11.0,9842,9836,10036,10071,11104,9778,10640,10998,9816
