,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8,9,D1,D10,D12,D13,D14,D15,D17,D18,D19,D19A,D2,D20,D21,D22,D23,D24,D4,D5,D6,D7,D8,D9
3.0,4400433,3951012,4006897,3592784,4060961,3944400,3980834,3876502,2881175,4272612,3995264,4298352,3995264,3995264,3995264,3147120,4046558,4298352,4400433,3677168,4028685,3966326,3966326,3759587,4400433,3966326,3607504,4019243,3944400,3878840,2806841,4272612,3424362,,4298352,3995264,3995264,3995264,4272612,4046558,4407260,3607504,3845163,3826888,3467009,3966326
8.0,4478463,3890159,4114999,3667488,4207588,3881293,4034400,3946441,2900975,4347648,3994432,4312440,3994432,3994432,3994432,4347648,4153746,3519950,4478463,3783758,4137206,3881293,3881293,3851471,4478463,3881293,3672640,3932944,3863200,3863200,3893136,4347648,3485604,,4312440,5200260,3994432,3994432,4347648,4153746,4492820,3722796,3984271,3890159,3525041,3881293
12.0,4590459,3989700,4218492,3759488,4309580,2960550,4133600,4047055,2973850,4456428,4096352,4420240,4096352,4096352,4078314,4456428,4024512,3608150,4590459,3358113,4240699,3980431,3980431,3948191,4590459,3980431,3266178,4033558,3962000,4096352,3993096,4456428,3572796,,5229075,5229075,4096352,4096352,4456428,4257558,4605520,3816296,4045445,3939353,3676972,3980431
