,A,A & B,A-B,B,C,F.P.,R.P.,whole floor
6.0,8440,7260,7260,9495,8440,8464,8847,7886
10.0,8664,7452,7452,9722,8664,8664,9422,8094
14.0,8900,7658,7658,9955,8900,8900,9666,8317
