,A1,A2,A3,A4,A5,A6,A7,B1,B3,B4,B6,B7
2.0,8385,8605,8639,8778,8530,8167,8498,8631,8538,8301,8464,9175
4.0,8487,8705,8739,8844,8633,8266,8573,8730,8640,8390,8566,9222
7.0,8650,8791,8886,8995,8206,8420,8736,8875,8798,8560,8724,9396
