,1,10,11,12,12A,14,15,16,17,18,19,2,20,21,22,23,24,25,26,26A,27,28,29,3,30,31,32,33,4,5,6,7,8,9
6.0,5734950,6135250,5874200,5863850,6135250,6135250,6024375,6061125,6135250,6036660,6185640,4687280,6085470,6085470,5019520,6184115,6069120,4251780,4251780,2857952,6085470,6085470,4716800,5837000,5680535,6085470,4156820,5632500,5552040,5837000,4677200,4163628,5992535,6135250
8.0,5808390,6213900,5944350,5839700,6213900,6213900,6003900,6256950,6213900,6113880,6259170,4753840,6163950,6163950,4878720,6263685,6147055,4306770,4306770,2895152,6163950,6163950,4780600,5911880,5750295,6163950,4145800,5704500,5787600,5911880,4780160,4218336,6069575,6213900
11.0,5918550,6331600,6053600,5905250,6331600,6331600,6117300,6515850,6331600,6229980,6378870,6024200,6280580,6280580,5225880,6383040,6263140,4318860,4318860,2950456,6280580,6280580,4778840,6024200,5854935,6280580,4225220,5812500,5888480,6024200,4794680,4299040,6185135,6331600
