,B,C,D,E,E & F,EF,F
7.0,3236112,4202900,4295370,2757208,5294232,5294232,3119704
9.0,3280604,4262050,4355335,2794808,5369166,5369166,3162192
11.0,3321464,4314375,4409270,2830340,5434992,5434992,3201516
