,1,10,11,12,13,14,2,2B,3,4,5,6,7,8,9
3.0,9191,9049,9237,9162,8976,9002,8974,9235,8993,9051,8991,9028,9028,9338,9049
8.0,9471,9327,9535,9442,9251,9282,9249,9516,9241,9330,9267,9305,9305,9658,9327
12.0,9701,9554,9771,9682,9832,9775,8783,9746,9465,9853,9774,9924,9924,9907,9554
