,A,B,C,D,E,F,G,H,I
4.0,9261,9650,9583,10008,8431,9175,10422,9261,8629
7.0,9561,9846,9890,10224,8653,9344,10631,9561,8799
10.0,9741,10031,10028,10399,8816,9501,10480,9836,8967
