,A,B,C,D,E,E2,F,G,H,I,J,K,L,M,N,O,P,Q
5.0,3536660,4140059,4915819,4177415,4207092,2514320,4206589,4447828,4318170,4827878,3538710,4805220,4898767,5190204,2954700,3597900,4474348,5325900
12.0,3701070,4255944,5041569,4437466,4470161,2638870,4440484,4699541,4568580,3470236,3657610,3695330,4050390,4166972,3097745,3641576,4687958,3311858
18.0,3837600,3537664,5217619,4202565,4227715,2745665,4223188,4461842,4741470,3567212,3772958,3838420,4148790,4004338,3224375,3772246,4834359,3440380
