,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8,9,D1,D10,D12,D13,D14,D15,D17,D18,D19,D19A,D2,D20,D21,D22,D23,D24,D4,D5,D6,D7,D8,D9
3.0,9587,9804,9563,9763,9929,9861,9878,9478,10477,9623,9604,9616,9604,9604,9604,10152,9589,9616,9587,9832,9615,9842,9842,9329,9587,9842,9803,9827,9861,9895,10133,9623,9897,,9616,9604,9604,9604,9623,9589,9581,9803,9177,9496,8603,9842
8.0,9757,9653,9821,9966,10066,9631,10086,9649,10549,9792,9602,9801,9602,9602,9602,9792,9843,10057,9757,10117,9874,9631,9631,9557,9757,9631,9980,9616,9658,9658,9542,9792,10074,,9801,9204,9602,9602,9792,9843,9767,9954,9509,9653,8747,9631
12.0,10001,9900,10068,10216,10310,10965,10334,9895,10814,10037,9847,10046,9847,9847,9851,10037,9864,10309,10001,10527,10121,9877,9877,9797,10001,9877,10271,9862,9905,9847,9787,10037,10326,,9255,9255,9847,9847,10037,10089,10012,10204,9655,9679,9124,9877
