,lumpSum_avg,npsf_avg,final_address,lumpSum_10,npsf_10,nfa_10,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_18,npsf_18,nfa_18,lumpSum_22,npsf_22,nfa_22,lumpSum_23,npsf_23,nfa_23,lumpSum_6,npsf_6,nfa_6,lumpSum_8,npsf_8,nfa_8,nfa_avg,lumpSum_change,npsf_change
2020-12-15,1647416.25,5473.875,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1574212.0,5543.0,284.0,1726195.0,5515.0,313.0,1717422.0,5558.0,309.0,1681436.0,5372.0,313.0,1674471.0,5419.0,309.0,1697904.0,5442.0,312.0,1529763.9999999998,5444.0,281.0,1577926.0,5498.0,287.0,,-0.07261074121941846,-0.07261753494282086
2020-11-15,1776402.125,5902.5,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1697752.0,5978.0,284.0,1858907.0,5939.0,313.0,1852455.0,5995.0,309.0,1813209.0,5793.0,313.0,1806105.0,5845.0,309.0,1831128.0,5869.0,312.0,1649751.0,5871.0,281.0,1701910.0,5930.0,287.0,,-0.004091285542872303,-0.004007593334739545
2020-10-15,1783699.75,5926.25,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1700592.0,5988.0,284.0,1861411.0,5947.0,313.0,1854927.0,6003.0,309.0,1816026.0,5802.0,313.0,1808886.0,5854.0,309.0,1870128.0000000002,5994.0,312.0,1652561.0,5881.0,281.0,1705066.9999999998,5941.0,287.0,,0.014552664232050816,0.014551679863042954
2020-9-15,1758114.5,5841.25,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1676168.0,5902.0,284.0,1834493.0,5861.0,313.0,1828353.0,5917.0,309.0,1790047.0,5719.0,313.0,1782930.0,5770.0,309.0,1843295.9999999998,5908.0,312.0,1628957.0,5797.0,281.0,1680672.0,5856.0,287.0,,-0.02071814895477664,-0.020807577059279603
2020-8-15,1795310.0,5965.375,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1716212.0,6043.0,284.0,1877686.9999999998,5999.0,313.0,1871613.0,6057.0,309.0,1832615.0,5855.0,313.0,1825263.0,5907.0,309.0,1850783.9999999998,5932.0,312.0,1667454.0,5934.0,281.0,1720852.0,5996.0,287.0,,0.014907878035073319,0.01490791544383474
2020-7-15,1768938.875,5877.75,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1690936.0,5954.0,284.0,1850143.0,5911.0,313.0,1844112.0,5968.0,309.0,1805697.0,5769.0,313.0,1798380.0000000002,5820.0,309.0,1823640.0,5845.0,312.0,1643007.0,5847.0,281.0,1695596.0,5908.0,287.0,,-0.05303324227809314,-0.0530258785620783
2020-6-15,1868005.25,6206.875,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1785224.0,6286.0,284.0,1956250.0,6250.0,313.0,1947009.0,6301.0,309.0,1906483.0,6091.0,313.0,1898805.0000000002,6145.0,309.0,1925352.0,6171.0,312.0,1734613.0,6173.0,281.0,1790306.0,6238.0,287.0,,0.05723200121343641,0.05723167330253154
2020-5-15,1766883.0,5870.875,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1688664.0,5946.0,284.0,1850456.0,5912.0,313.0,1841640.0,5960.0,309.0,1803193.0,5761.0,313.0,1795908.0,5812.0,309.0,1821144.0000000002,5837.0,312.0,1640759.0,5839.0,281.0,1693300.0,5900.0,287.0,,0.008008047483346603,0.008005322573721996
2020-4-15,1752846.125,5824.25,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1675316.0,5899.0,284.0,1835745.0,5865.0,313.0,1826808.0,5912.0,309.0,1788795.0,5715.0,313.0,1781694.0,5766.0,309.0,1806480.0,5790.0,312.0,1627833.0,5793.0,281.0,1680098.0,5854.0,287.0,,-0.01204552147636917,-0.012043594419235859
2020-3-15,1774217.5,5895.25,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1695764.0,5971.0,284.0,1858280.9999999998,5937.0,313.0,1849055.9999999998,5984.0,309.0,1810705.0,5785.0,313.0,1803324.0,5836.0,309.0,1828632.0,5861.0,312.0,1647503.0,5863.0,281.0,1700475.0,5925.0,287.0,,0.08813920341292825,0.08813621891006407
2020-2-15,1630506.0,5417.75,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1558592.0,5488.0,284.0,1707728.0,5456.0,313.0,1699191.0,5499.0,309.0,1663908.0,5316.0,313.0,1657167.0,5363.0,309.0,1680432.0,5386.0,312.0,1514028.0,5388.0,281.0,1563002.0,5446.0,287.0,,-0.0542714523854545,-0.05441137970154464
2020-1-15,1724074.0,5729.5,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1644644.0000000002,5791.0,284.0,1801941.0,5757.0,313.0,1793127.0,5803.0,309.0,1755617.0,5609.0,313.0,1748630.9999999998,5659.0,309.0,1773095.9999999998,5683.0,312.0,1626147.0,5787.0,281.0,1649389.0,5747.0,287.0,,-0.06371132917687516,-0.06371157185170051
2019-12-15,1841391.5,6119.375,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1756540.0,6185.0,284.0,1924324.0,6148.0,313.0,1915182.0,6198.0,309.0,1875183.0,5991.0,313.0,1867596.0,6044.0,309.0,1893840.0,6070.0,312.0,1736861.0,6181.0,281.0,1761606.0,6138.0,287.0,,0.030172648003908842,0.030111101759111136
2019-11-15,1787459.125,5940.5,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1709112.0,6018.0,284.0,1872053.0,5981.0,313.0,1831134.0,5926.0,309.0,1824477.0,5829.0,313.0,1816920.0,5880.0,309.0,1842360.0,5905.0,312.0,1689653.0,6013.0,281.0,1713964.0,5972.0,287.0,,0.00883213933320448,0.008830771843423513
2019-10-15,1771810.25,5888.5,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1694060.0,5965.0,284.0,1855777.0,5929.0,313.0,1815066.0,5874.0,309.0,1808201.0,5777.0,313.0,1801161.0,5829.0,309.0,1826136.0,5853.0,312.0,1675040.9999999998,5961.0,281.0,1699040.0000000002,5920.0,287.0,,0.008319455244309992,0.00834796010103167
2019-9-15,1757191.375,5839.75,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1679008.0,5912.0,284.0,1839188.0,5876.0,313.0,1798689.0,5821.0,309.0,1802254.0,5758.0,313.0,1784784.0,5776.0,309.0,1809912.0,5801.0,312.0,1659867.0,5907.0,281.0,1683829.0,5867.0,287.0,,-0.0946804098482068,-0.09468258274552366
2019-8-15,1940962.5,6450.5,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1854804.0,6531.0,284.0,2031370.0,6490.0,313.0,1986870.0,6430.0,309.0,1990680.0,6360.0,313.0,1971420.0,6380.0,309.0,1998984.0,6407.0,312.0,1833525.0,6525.0,281.0,1860047.0,6481.0,287.0,,0.11769599305299083,0.11769547325102891
2019-7-15,1736574.625,5771.25,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1659412.0,5843.0,284.0,1817591.0,5807.0,313.0,1777677.0,5753.0,309.0,1780970.0,5690.0,313.0,1763772.0,5708.0,309.0,1788384.0,5732.0,312.0,1640478.0,5838.0,281.0,1664313.0,5799.0,287.0,,-0.016559347264716195,-0.016529629787415345
2019-6-15,1765815.375,5868.25,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1688380.0,5945.0,284.0,1849204.0,5908.0,313.0,1808577.0,5853.0,309.0,1812270.0,5790.0,313.0,1794672.0,5808.0,309.0,1819584.0,5832.0,312.0,1668859.0,5939.0,281.0,1684977.0,5871.0,287.0,,-0.08233005740454147,-0.08229728673078429
2019-5-15,1924238.0,6394.5,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1831516.0,6449.0,284.0,2016346.0,6442.0,313.0,1972038.0,6382.0,309.0,1975969.0,6313.0,313.0,1956897.0,6333.0,309.0,1984008.0,6359.0,312.0,1819756.0,6476.0,281.0,1837374.0,6402.0,287.0,,0.047354046996785026,0.04716285924834196
2019-4-15,1837237.375,6106.5,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1779544.0,6266.0,284.0,1898345.0,6065.0,313.0,1892316.0,6124.0,309.0,1860785.0,5945.0,313.0,1878102.0,6078.0,309.0,1896024.0,6077.0,312.0,1707356.0,6076.0,281.0,1785427.0,6221.0,287.0,,0.020846654276771126,0.020940438871473344
2019-3-15,1799719.25,5981.25,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1733536.0,6104.0,284.0,1864228.0,5956.0,313.0,1858326.0,6014.0,309.0,1827294.0,5838.0,313.0,1840095.0,5955.0,309.0,1858896.0,5958.0,312.0,1676446.0,5966.0,281.0,1738933.0,6059.0,287.0,,0.05889164995465168,0.059472145956956934
2019-2-15,1699625.5,5645.5,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1602328.0,5642.0,284.0,1780344.0,5688.0,313.0,1775205.0,5745.0,309.0,1733394.0000000002,5538.0,313.0,1746777.0,5653.0,309.0,1782144.0,5712.0,312.0,1572195.0,5595.0,281.0,1604617.0,5591.0,287.0,,0.05891810173897083,0.058920072214016184
2019-1-15,1605058.5,5331.375,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1513152.0,5328.0,284.0,1681436.0,5372.0,313.0,1676325.0,5425.0,309.0,1636990.0,5230.0,313.0,1649442.0,5338.0,309.0,1683240.0,5395.0,312.0,1484523.0,5283.0,281.0,1515360.0,5280.0,287.0,,,
2018-12-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2018-11-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2018-10-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2018-9-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2018-8-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2018-7-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2018-6-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2018-5-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2018-4-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2018-3-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2018-2-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2018-1-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
2017-12-15,,,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,284.0,,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,,281.0,,,287.0,,,
