,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,9315027.0,19700.2,5,46575135.0,98501.0,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11797422.0,17794.0,663.0,11585925.0,17475.0,663.0,9077968.0,20084.0,452.0,6756204.0,22596.0,299.0,7357616.0,20552.0,358.0,-0.0009702197325045514,-0.0009635279321675849
2019-11-15,9324073.4,19719.2,5,46620367.0,98596.0,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11808693.0,17811.0,663.0,11597859.0,17493.0,663.0,9086556.0,20103.0,452.0,6762483.0,22617.0,299.0,7364776.0,20572.0,358.0,0.03462490803683971,0.034628945601074435
2019-10-15,9012032.6,19059.2,5,45060163.0,95296.0,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11413545.0,17215.0,663.0,11210004.0,16908.0,663.0,8782360.0,19430.0,452.0,6536140.0,21860.0,299.0,7118114.0,19883.0,358.0,-0.039362255673301205,-0.039354838709677376
2019-9-15,9381301.8,19840.0,5,46906509.0,99200.0,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11880960.0,17920.0,663.0,11670126.0,17602.0,663.0,9142152.0,20226.0,452.0,6803745.0,22755.0,299.0,7409526.0,20697.0,358.0,0.029171763998507183,0.02924850333571971
2019-8-15,9115389.8,19276.2,5,45576949.0,96381.0,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11562057.0,17439.0,663.0,11357853.0,17131.0,663.0,8824848.0,19524.0,452.0,6621355.0,22145.0,299.0,7210836.0,20142.0,358.0,-0.04918492190058332,-0.049178225440483
2019-7-15,9586921.8,20273.2,5,47934609.0,101366.0,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",12160083.0,18341.0,663.0,11945934.0,18018.0,663.0,9281368.0,20534.0,452.0,6963710.0,23290.0,299.0,7583514.0,21183.0,358.0,0.016895020701678032,0.016903923516015995
2019-6-15,9427641.6,19936.2,5,47138208.0,99681.0,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",11957868.0,18036.0,663.0,11748360.0,17720.0,663.0,9126784.0,20192.0,452.0,6847698.0,22902.0,299.0,7457498.0,20831.0,358.0,-0.011495896755146506,-0.011493454978183215
2019-5-15,9537281.2,20168.0,5,47686406.0,100840.0,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",12096435.0,18245.0,663.0,11885601.0,17927.0,663.0,9233004.0,20427.0,452.0,6927232.0,23168.0,299.0,7544134.0,21073.0,358.0,,
2019-4-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2019-3-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
2019-2-15,,,5,,,2435,"THE PAVILIA FARM I(Block 3A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3A座(柏傲莊 I),車公廟路",,,663.0,,,663.0,,,452.0,,,299.0,,,358.0,,
