,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,nfa_avg,lumpSum_change,npsf_change
2022-12-15,21304160.666666668,16194.0,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",20020252.0,16532.0,1211.0,21675264.0,16032.0,1352.0,22216966.0,16018.0,1387.0,,0.009368681227880371,0.009370260331179603
2022-11-15,21106421.333333332,16043.666666666666,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",19833758.0,16378.0,1211.0,21473816.000000004,15883.0,1352.0,22011690.0,15870.0,1387.0,,-0.06478075515016846,-0.06478189060526574
2022-10-15,22568420.666666668,17155.0,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",21208243.0,17513.0,1211.0,22961016.0,16983.0,1352.0,23536003.0,16969.0,1387.0,,0.012810609696463748,0.012811429920887907
2022-9-15,22282962.333333332,16938.0,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",20939401.0,17291.0,1211.0,22671688.0,16769.0,1352.0,23237798.0,16754.0,1387.0,,-0.03730408685980291,-0.03730367732034934
2022-8-15,23146418.333333332,17594.333333333332,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",21750771.0,17961.0,1211.0,23549136.0,17418.0,1352.0,24139348.0,17404.0,1387.0,,-0.05360874686422756,-0.05361016979542077
2022-7-15,24457557.333333332,18591.0,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",22983569.0,18979.0,1211.0,24883560.0,18405.0,1352.0,25505543.0,18389.0,1387.0,,0.058477733631985274,0.058471874288317016
2022-6-15,23106350.333333332,17564.0,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",21716863.0,17933.0,1211.0,23507224.0,17387.0,1352.0,24094964.0,17372.0,1387.0,,-0.07637266165821599,-0.07637294255815175
2022-5-15,25016962.333333332,19016.333333333332,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",23494611.0,19401.0,1211.0,25552800.0,18900.0,1352.0,26003476.0,18748.0,1387.0,,0.0165535355056754,0.01655381325730554
2022-4-15,24609586.666666668,18706.666666666668,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",23111935.0,19085.0,1211.0,25136384.0,18592.0,1352.0,25580441.0,18443.0,1387.0,,0.0021074199285688877,0.002107067604728563
2022-3-15,24557833.0,18667.333333333332,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",23063495.0,19045.0,1211.0,25083656.0,18553.0,1352.0,25526348.0,18404.0,1387.0,,-0.004391106438820125,-0.004391189176696564
2022-2-15,24666144.666666668,18749.666666666668,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",23165219.0,19129.0,1211.0,25194520.0,18635.0,1352.0,25638695.0,18485.0,1387.0,,-0.04440812085362811,-0.04440820209639329
2022-1-15,25812426.0,19621.0,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",24241798.0,20018.0,1211.0,26365352.0,19501.0,1352.0,26830128.0,19344.0,1387.0,,0.029704358215995263,0.029703489897664692
2021-12-15,25067803.0,19055.0,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",23543051.0,19441.0,1211.0,25604176.0,18938.0,1352.0,26056182.0,18786.0,1387.0,,0.0015416783330328698,0.0015417768978747137
2021-11-15,25029216.0,19025.666666666668,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",23506721.0,19411.0,1211.0,25564968.0,18909.0,1352.0,26015959.0,18757.0,1387.0,,-0.010024380742547634,-0.010025149596739058
2021-10-15,25282659.0,19218.333333333332,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",23745288.0,19608.0,1211.0,25823200.0,19100.0,1352.0,26279489.0,18947.0,1387.0,,-0.02501096747303555,-0.025010991984306785
2021-9-15,25931224.0,19711.333333333332,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",24354421.0,20111.0,1211.0,26485680.0,19590.0,1352.0,26953571.0,19433.0,1387.0,,0.024462466383572412,0.0244620768511139
2021-8-15,25312029.333333332,19240.666666666668,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",23773141.0,19631.0,1211.0,25852944.0,19122.0,1352.0,26310003.0,18969.0,1387.0,,-0.014292636363296585,-0.01429327686606674
2021-7-15,25679050.666666668,19519.666666666668,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",24118276.0,19916.0,1211.0,26227448.0,19399.0,1352.0,26691428.0,19244.0,1387.0,,0.0013349025999431774,0.0013337665224602002
2021-6-15,25644817.333333332,19493.666666666668,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",24086790.0,19890.0,1211.0,26192296.0,19373.0,1352.0,26655366.0,19218.0,1387.0,,-0.003119835373076807,-0.003119459975453376
2021-5-15,25725075.333333332,19554.666666666668,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",24161872.0,19952.0,1211.0,26274768.0,19434.0,1352.0,26738586.0,19278.0,1387.0,,0.012567609928636259,0.012705427427150973
2021-4-15,25405785.333333332,19309.333333333332,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",23741655.0,19605.0,1211.0,26201760.0,19380.0,1352.0,26273941.0,18943.0,1387.0,,0.01368562972702847,0.01368424736639473
2021-3-15,25062785.333333332,19048.666666666668,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",23421951.0,19341.0,1211.0,25847536.0,19118.0,1352.0,25918869.0,18687.0,1387.0,,-0.014247405948244363,-0.01424825777961769
2021-2-15,25425026.0,19324.0,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",23761031.0,19621.0,1211.0,26220688.0,19394.0,1352.0,26293359.0,18957.0,1387.0,,0.04300146731115051,0.042980767500854444
2021-1-15,24376788.333333332,18527.666666666668,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",22798286.0,18826.0,1211.0,25103936.0,18568.0,1352.0,25228143.0,18189.0,1387.0,,0.0012789827264423348,0.0012790027381468505
2020-12-15,24345650.666666668,18504.0,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",22769222.0,18802.0,1211.0,25071488.0,18544.0,1352.0,25196242.0,18166.0,1387.0,,,
2020-11-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2020-10-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2020-9-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2020-8-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2020-7-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
2020-6-15,,,"KING TOWER 1(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 1),多石街",,,1211.0,,,1352.0,,,1387.0,,,
