,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2022-12-15,17926354.4,16430.2,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",24193259.999999996,16380.0,1477.0,15739644.0,16603.0,948.0,16120114.0,16349.0,986.0,16171650.0,16335.0,990.0,17407104.0,16484.0,1056.0,,0.009374122037551613,0.009374846414704985
2022-11-15,17759871.2,16277.6,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",23968755.999999996,16228.0,1477.0,15593652.0,16449.0,948.0,15970242.000000002,16197.0,986.0,16021170.000000002,16183.0,990.0,17245536.0,16331.0,1056.0,,-0.06477470059039903,-0.06477449008905489
2022-10-15,18989938.8,17405.0,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",25628904.0,17352.0,1477.0,16673424.0,17588.0,948.0,17076534.0,17319.0,986.0,17130960.0,17304.0,990.0,18439872.0,17462.0,1056.0,,0.012821357011974843,0.012825436728233441
2022-9-15,18749544.2,17184.6,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",25305441.000000004,17133.0,1477.0,16462020.000000002,17365.0,948.0,16859614.0,17099.0,986.0,16914150.0,17085.0,990.0,18206496.0,17241.0,1056.0,,-0.037294930363256595,-0.037298884058620696
2022-8-15,19475896.4,17850.4,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",26284692.0,17796.0,1477.0,17100024.0,18038.0,948.0,17513332.0,17762.0,986.0,17569530.0,17747.0,990.0,18911904.0,17909.0,1056.0,,-0.05622909025805667,-0.05650284892755586
2022-7-15,20636254.2,18919.4,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",27774985.0,18805.0,1477.0,18069828.0,19061.0,948.0,18787244.0,19054.0,986.0,18565470.0,18753.0,990.0,19983744.0,18924.0,1056.0,,0.05837849713212484,0.05838060394499833
2022-6-15,19497990.8,17875.8,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",26243336.0,17768.0,1477.0,17071584.0,18008.0,948.0,17751944.0,18004.0,986.0,17541810.0,17719.0,990.0,18881280.0,17880.0,1056.0,,-0.079977988163353,-0.07997076625355126
2022-5-15,21192961.2,19429.6,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",28526778.0,19314.0,1477.0,18555204.0,19573.0,948.0,19295034.0,19569.0,986.0,19064430.0,19257.0,990.0,20523360.0,19435.0,1056.0,,0.03497099809927917,0.03495371110187806
2022-4-15,20476864.8,18773.4,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",27584452.0,18676.0,1477.0,18250896.0,19252.0,948.0,18210434.0,18469.0,986.0,18446670.0,18633.0,990.0,19891872.0,18837.0,1056.0,,7.518317633192773e-05,-0.00013847464848737445
2022-3-15,20475325.4,18776.0,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",27526849.0,18637.0,1477.0,18212976.0,19212.0,948.0,18378054.0,18639.0,986.0,18408060.0,18594.0,990.0,19850688.0,18798.0,1056.0,,-0.004370198326401842,-0.004369405675985316
2022-2-15,20565199.4,18858.4,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",27647963.0,18719.0,1477.0,18292608.0,19296.0,948.0,18458906.0,18721.0,986.0,18489240.0,18676.0,990.0,19937280.0,18880.0,1056.0,,-0.04440886562511581,-0.044408861503536845
2022-1-15,21520919.0,19734.8,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",28932953.0,19589.0,1477.0,19142964.0,20193.0,948.0,19316726.0,19591.0,986.0,19348560.0,19544.0,990.0,20863392.0,19757.0,1056.0,,0.029723242403754124,0.029720535136601667
2021-12-15,20899711.8,19165.2,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",28096971.0,19023.0,1477.0,18590280.0,19610.0,948.0,18759636.0,19026.0,986.0,18790200.0,18980.0,990.0,20261472.0,19187.0,1056.0,,0.0015258000724902576,0.0015259197324415386
2021-11-15,20867871.6,19136.0,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",28054138.0,18994.0,1477.0,18561840.0,19580.0,948.0,18731042.0,18997.0,986.0,18761490.0,18951.0,990.0,20230848.0,19158.0,1056.0,,-0.011155408896151298,-0.010854957097074291
2021-10-15,21103287.4,19346.0,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",28460313.0,19269.0,1477.0,18749544.0,19778.0,948.0,18920354.0,19189.0,986.0,18951570.0,19143.0,990.0,20434656.0,19351.0,1056.0,,-0.02501537255802211,-0.025017135023989057
2021-9-15,21644738.6,19842.4,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",29189951.0,19763.0,1477.0,19231128.0,20286.0,948.0,19405466.0,19681.0,986.0,19437660.0,19634.0,990.0,20959488.0,19848.0,1056.0,,0.02445336529256248,0.02445169551030535
2021-8-15,21128085.8,19368.8,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",28492807.0,19291.0,1477.0,18772296.0,19802.0,948.0,18943032.0,19212.0,986.0,18973350.0,19165.0,990.0,20458944.0,19374.0,1056.0,,-0.014259944755484866,-0.014260267698101736
2021-7-15,21433729.6,19649.0,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",28904890.0,19570.0,1477.0,19043424.0,20088.0,948.0,19217140.0,19490.0,986.0,19248570.0,19443.0,990.0,20754624.0,19654.0,1056.0,,0.0013256683846731843,0.0013249757937114914
2021-6-15,21405353.2,19623.0,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",28866488.0,19544.0,1477.0,19018776.0,20062.0,948.0,19191504.0,19464.0,986.0,19222830.0,19417.0,990.0,20727168.0,19628.0,1056.0,,-0.00314170274763792,-0.003139478176054533
2021-5-15,21472814.4,19684.8,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",28958062.0,19606.0,1477.0,19078500.0,20125.0,948.0,19251650.0,19525.0,986.0,19283220.0,19478.0,990.0,20792640.0,19690.0,1056.0,,0.01773518298802612,0.017733613210766386
2021-4-15,21098626.4,19341.8,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",28452928.0,19264.0,1477.0,18745752.0,19774.0,948.0,18916410.0,19185.0,986.0,18947610.0,19139.0,990.0,20430432.0,19347.0,1056.0,,0.013689075842620246,0.013689296982275279
2021-3-15,20813706.0,19080.6,"KING TOWER 2(Phase 2,ST MICHEL),TO SHEK ST|瓏珀山,2期(KING TOWER 2),多石街",28068908.0,19004.0,1477.0,18492636.0,19507.0,948.0,18661036.0,18926.0,986.0,18692190.0,18881.0,990.0,20153760.0,19085.0,1056.0,,-0.016362479374345873,-0.016575439898568356
