,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2022-12-15,84545542.18190674,42431.0,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,84545542.18190674,42431.0,2436.0,,0.009363337761332469,-0.005531206787447007
2022-11-15,83761257.23906355,42667.0,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,83761257.23906355,42667.0,2436.0,,-0.06476267435133432,0.04668334805220287
2022-10-15,89561499.46321708,40764.0,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,89561499.46321708,40764.0,2436.0,,0.012822706730361233,-0.029982866933181085
2022-9-15,88427618.0500963,42024.0,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,88427618.0500963,42024.0,2436.0,,-0.03730014958910999,0.004133712456094285
2022-8-15,91853777.69857812,41851.0,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,91853777.69857812,41851.0,2436.0,,-0.05364363361880997,-0.04015870831613233
2022-7-15,97060453.08261776,43602.0,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,97060453.08261776,43602.0,2436.0,,0.05836484889074023,0.009282192541839374
2022-6-15,91707933.4072231,43201.0,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,91707933.4072231,43201.0,2436.0,,-0.08016949961889708,0.0017390901080553967
2022-5-15,99700905.078954,43126.0,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,99700905.078954,43126.0,2436.0,,,
2022-4-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2022-3-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2022-2-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2022-1-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2021-12-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2021-11-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2021-10-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2021-9-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2021-8-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2021-7-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2021-6-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2021-5-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2021-4-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2021-3-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
2021-2-15,,,"MOUNT REGALIA(Block 5),LAI PING RD|富豪·山峯5座,麗坪路",,,1623.0,,,2436.0,,,
