,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,nfa_avg,lumpSum_change,npsf_change
2022-12-15,3886675.625,12774.125,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",3734400.0,12448.0,300.0,3663520.0000000005,13084.0,280.0,3493360.0,13436.0,260.0,4021800.0,13406.0,300.0,4045545.0,12843.0,315.0,3973435.0,11861.0,335.0,4189510.0,12506.0,335.0,3971835.0,12609.0,315.0,,0.003963267169637241,0.0036633274405815097
2022-11-15,3871332.5,12727.5,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",3701400.0,12338.0,300.0,3631600.0,12970.0,280.0,3551340.0,13659.0,260.0,3985500.0,13285.0,300.0,4009005.0,12727.0,315.0,4004925.0,11955.0,335.0,4150650.0000000005,12390.0,335.0,3936240.0,12496.0,315.0,,-0.0676229875257719,-0.06806886515280486
2022-10-15,4152110.625,13657.125,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",3958800.0,13196.0,300.0,3885280.0,13876.0,280.0,3890120.0000000005,14962.0,260.0,4263600.0,14212.0,300.0,4288095.0,13613.0,315.0,4282305.0,12783.0,335.0,4438080.0,13248.0,335.0,4210605.0,13367.0,315.0,,0.011683419993372635,0.01176067489605237
2022-9-15,4104160.0,13498.375,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",3908700.0000000005,13029.0,300.0,3837960.0,13707.0,280.0,3841500.0,14775.0,260.0,4212000.0,14040.0,300.0,4234860.0,13444.0,315.0,4257180.0,12708.0,335.0,4382135.0,13081.0,335.0,4158945.0,13203.0,315.0,,-0.04004958614862397,-0.040089957954434374
2022-8-15,4275387.5,14062.125,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4060200.0,13534.0,300.0,3988600.0,14245.0,280.0,3991000.0,15350.0,260.0,4467600.0,14892.0,300.0,4399920.0,13968.0,315.0,4422000.0,13200.0,335.0,4551980.0,13588.0,335.0,4321800.0,13720.0,315.0,,-0.05698623021401439,-0.05726137601608983
2022-7-15,4533748.75,14916.25,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4290300.0,14301.0,300.0,4337480.0,15491.0,280.0,4217980.0,16223.0,260.0,4722300.000000001,15741.0,300.0,4650660.0,14764.0,315.0,4672580.0,13948.0,335.0,4809930.0,14358.0,335.0,4568760.0,14504.0,315.0,,0.05754572348451936,0.057533809532249736
2022-6-15,4287047.5,14104.75,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4113900.0,13713.0,300.0,4099200.0,14640.0,280.0,3986060.0,15331.0,260.0,4423800.0,14746.0,300.0,4395195.0,13953.0,315.0,4414965.0,13179.0,335.0,4544610.0,13566.0,335.0,4318650.0,13710.0,315.0,,-0.08088342589564035,-0.08098907005912914
2022-5-15,4664313.125,15347.75,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4473600.0,14912.0,300.0,4455920.0,15914.0,280.0,4359680.0,16768.0,260.0,4808700.0,16029.0,300.0,4779495.0,15173.0,315.0,4799545.0,14327.0,335.0,4940915.0,14749.0,335.0,4696650.0,14910.0,315.0,,0.01646371627224319,0.016466185954484125
2022-4-15,4588765.0,15099.125,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4401900.0,14673.0,300.0,4383120.0,15654.0,280.0,4288700.0,16495.0,260.0,4730100.0,15767.0,300.0,4702635.0,14929.0,315.0,4721490.0,14094.0,335.0,4860180.0,14508.0,335.0,4621995.0,14673.0,315.0,,0.005287945182821607,0.005267976031957389
2022-3-15,4564627.5,15020.0,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4392900.0,14643.0,300.0,4316480.0,15416.0,280.0,4279860.0,16461.0,260.0,4719600.0,15732.0,300.0,4693815.0,14901.0,315.0,4650135.0,13881.0,335.0,4849795.0,14477.0,335.0,4614435.0,14649.0,315.0,,-0.000859134266269268,-0.0011886652868174918
2022-2-15,4568552.5,15037.875,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4412100.0,14707.0,300.0,4334400.0,15480.0,280.0,4299100.0,16535.0,260.0,4740300.0,15801.0,300.0,4715550.0,14970.0,315.0,4670905.0,13943.0,335.0,4739580.0,14148.0,335.0,4636485.0,14719.0,315.0,,-0.04441242746338836,-0.04441037698381178
2022-1-15,4780883.125,15736.75,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4617300.0,15391.0,300.0,4534600.0,16195.0,280.0,4499040.0,17304.0,260.0,4959900.0,16533.0,300.0,4935735.0,15669.0,315.0,4888320.0,14592.0,335.0,4958335.0,14801.0,335.0,4853835.0,15409.0,315.0,,0.0273929347548707,0.02721138390489486
2021-12-15,4653412.5,15319.875,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4484100.0,14947.0,300.0,4483080.0,16011.0,280.0,4369560.0,16806.0,260.0,4816500.0,16055.0,300.0,4794615.0,15221.0,315.0,4749964.999999999,14179.0,335.0,4813615.0,14369.0,335.0,4715865.0,14971.0,315.0,,0.0068017460068476865,0.007107992177100009
2021-11-15,4621975.0,15211.75,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4395900.0,14653.0,300.0,4358200.0,15565.0,280.0,4363060.0,16781.0,260.0,4809300.0,16031.0,300.0,4788315.0,15201.0,315.0,4745275.0,14165.0,335.0,4805240.0,14344.0,335.0,4710510.0,14954.0,315.0,,-0.010167812745737748,-0.010159179457146839
2021-10-15,4669453.125,15367.875,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4440000.0,14800.0,300.0,4401880.0,15721.0,280.0,4407520.0,16952.0,260.0,4858500.0,16195.0,300.0,4837770.0,15358.0,315.0,4795860.0,14316.0,335.0,4853815.0,14489.0,335.0,4760280.0,15112.0,315.0,,-0.02516865174377203,-0.025159377081417134
2021-9-15,4790011.25,15764.5,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4553700.0,15179.0,300.0,4514440.0,16123.0,280.0,4520880.0,17388.0,260.0,4983600.0,16612.0,300.0,4962825.0,15755.0,315.0,4921820.0,14692.0,335.0,4978435.0,14861.0,335.0,4884390.0,15506.0,315.0,,0.020965036159315442,0.02109123883702657
2021-8-15,4691650.625,15438.875,"GOLDEN MASCOT COURT(Block B,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,B座(金貴閣),1-3 隔田街",4444800.0,14816.0,300.0,4406360.0,15737.0,280.0,4413240.0,16974.0,260.0,4865100.0,16217.0,300.0,4845645.0,15383.0,315.0,4806915.0,14349.0,335.0,4859510.0,14506.0,335.0,4891635.0,15529.0,315.0,,-0.014389265664535245,-0.014379992498783079
