,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,nfa_avg,lumpSum_change,npsf_change
2022-12-15,2514153.5,6609.055555555556,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",3020313.0000000005,6609.0,457.0,1912196.0,6686.0,286.0,1948157.0,6649.0,293.0,1955394.0,6651.0,294.0,1862468.0,6628.0,281.0,1841112.0000000002,6552.0,281.0,2634192.0,6652.0,396.0,3053268.0,6652.0,459.0,3121272.0,6756.0,462.0,2608734.0,6638.0,393.0,2429568.0,6327.0,384.0,2432256.0,6334.0,384.0,2512620.0,6345.0,396.0,3106730.0,6710.0,463.0,2652153.0,6783.0,391.0,2550528.0,6642.0,384.0,2560128.0,6667.0,384.0,3053674.0,6682.0,457.0,,0.008109605377878193,0.008280643466173965
2022-11-15,2493928.722222222,6554.777777777777,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",2992436.0,6548.0,457.0,1894464.0,6624.0,286.0,1934385.9999999998,6602.0,293.0,1937166.0000000002,6589.0,294.0,1845046.0,6566.0,281.0,1823971.0,6491.0,281.0,2609640.0,6590.0,396.0,3075759.0,6701.0,459.0,3092628.0,6694.0,462.0,2584761.0,6577.0,393.0,2407296.0,6269.0,384.0,2409600.0,6275.0,384.0,2489256.0,6286.0,396.0,3078024.0,6648.0,463.0,2627519.9999999995,6720.0,391.0,2527104.0,6581.0,384.0,2536320.0,6605.0,384.0,3025339.9999999995,6620.0,457.0,,-0.06477345587376238,-0.06477591591496379
2022-10-15,2666657.3333333335,7008.777777777777,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",3199456.9999999995,7001.0,457.0,2025738.0,7083.0,286.0,2068287.0,7059.0,293.0,2071230.0,7045.0,294.0,1972901.0,7021.0,281.0,1950421.0,6941.0,281.0,2790612.0000000005,7047.0,396.0,3288735.0,7165.0,459.0,3306534.0000000005,7157.0,462.0,2763576.0000000005,7032.0,393.0,2573951.9999999995,6703.0,384.0,2576640.0,6710.0,384.0,2661516.0,6721.0,396.0,3291004.0,7108.0,463.0,2809726.0,7186.0,391.0,2702208.0,7037.0,384.0,2712192.0,7063.0,384.0,3235103.0,7079.0,457.0,,0.01281793099140871,0.012821027448398636
2022-9-15,2632908.888888889,6920.055555555556,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",3159241.0,6913.0,457.0,1999998.0,6993.0,286.0,2041917.0,6969.0,293.0,2045064.0,6956.0,294.0,1947892.0,6932.0,281.0,1925693.0,6853.0,281.0,2755368.0000000005,6958.0,396.0,3246966.0,7074.0,459.0,3264954.0,7067.0,462.0,2728599.0,6943.0,393.0,2541312.0,6618.0,384.0,2544000.0,6625.0,384.0,2627856.0,6636.0,396.0,3249334.0,7018.0,463.0,2774145.0,7095.0,391.0,2668032.0,6948.0,384.0,2678016.0,6974.0,384.0,3193973.0,6989.0,457.0,,-0.03730318233355878,-0.037306396265496033
2022-8-15,2734930.5,7188.222222222223,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",3281260.0,7180.0,457.0,2077504.0,7264.0,286.0,2121027.0,7239.0,293.0,2124444.0,7226.0,294.0,2023481.0,7201.0,281.0,2000439.0,7119.0,281.0,2862288.0,7228.0,396.0,3372732.0,7348.0,459.0,3391542.0,7341.0,462.0,2834316.0,7212.0,393.0,2639616.0,6874.0,384.0,2642688.0,6882.0,384.0,2729628.0,6893.0,396.0,3375270.0,7290.0,463.0,2881670.0,7370.0,391.0,2771328.0,7217.0,384.0,2781696.0,7244.0,384.0,3317820.0,7260.0,457.0,,-0.053928284519494274,-0.05402224058138427
2022-7-15,2890827.888888889,7598.722222222223,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",3467259.0,7587.0,457.0,2195336.0,7676.0,286.0,2241450.0,7650.0,293.0,2244690.0,7635.0,294.0,2138129.0,7609.0,281.0,2128575.0,7575.0,281.0,3024648.0,7638.0,396.0,3564135.0,7765.0,459.0,3583734.0,7757.0,462.0,2995053.0,7621.0,393.0,2789376.0,7264.0,384.0,2792448.0,7272.0,384.0,2884464.0,7284.0,396.0,3566489.0,7703.0,463.0,3045108.0,7788.0,391.0,2928384.0,7626.0,384.0,2939520.0,7655.0,384.0,3506104.0,7672.0,457.0,,0.05834927385733457,0.058350614379894195
2022-6-15,2731449.777777778,7179.777777777777,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",3276233.0000000005,7169.0,457.0,2074358.0,7253.0,286.0,2117804.0,7228.0,293.0,2121210.0,7215.0,294.0,2020109.0,7189.0,281.0,2011117.0,7157.0,281.0,2857932.0,7217.0,396.0,3367682.9999999995,7337.0,459.0,3385998.0,7329.0,462.0,2829993.0,7201.0,393.0,2635392.0,6863.0,384.0,2638464.0,6871.0,384.0,2725272.0,6882.0,396.0,3370177.0,7279.0,463.0,2877369.0,7359.0,391.0,2766720.0,7205.0,384.0,2777472.0000000005,7233.0,384.0,3312793.0,7249.0,457.0,,-0.08024384434200382,-0.08022973617348361
2022-5-15,2969754.277777778,7806.055555555556,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",3561858.0,7794.0,457.0,2255110.0,7885.0,286.0,2302394.0,7858.0,293.0,2305842.0,7843.0,294.0,2196296.0,7816.0,281.0,2186461.0,7781.0,281.0,3107016.0,7846.0,396.0,3660984.0,7976.0,459.0,3681216.0,7968.0,462.0,3076404.0,7828.0,393.0,2865408.0,7462.0,384.0,2868480.0,7470.0,384.0,2962872.0,7482.0,396.0,3668812.0,7924.0,463.0,3128000.0,8000.0,391.0,3007872.0,7833.0,384.0,3019392.0,7863.0,384.0,3601160.0,7880.0,457.0,,0.01596176444321218,0.01606068494735613
2022-4-15,2923096.5,7682.666666666667,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",3534438.0,7734.0,457.0,2218216.0,7756.0,286.0,2264890.0,7730.0,293.0,2268504.0,7716.0,294.0,2160609.0,7689.0,281.0,2150774.0,7654.0,281.0,3056328.0,7718.0,396.0,3601314.0,7846.0,459.0,3621156.0,7838.0,462.0,3026493.0,7701.0,393.0,2818560.0,7340.0,384.0,2821632.0,7348.0,384.0,2914560.0,7360.0,396.0,3609085.0,7795.0,463.0,3077170.0,7870.0,391.0,2958720.0,7705.0,384.0,2970624.0,7736.0,384.0,3542664.0,7752.0,457.0,,0.0020923753770412112,0.002094218074043974
2022-3-15,2916993.0555555555,7666.611111111111,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",3527126.0,7718.0,457.0,2213640.0,7740.0,286.0,2259909.0,7713.0,293.0,2263506.0,7699.0,294.0,2155832.0,7672.0,281.0,2146559.0,7639.0,281.0,3049992.0,7702.0,396.0,3593970.0,7830.0,459.0,3613302.0,7821.0,462.0,3020205.0,7685.0,393.0,2812800.0,7325.0,384.0,2815872.0,7333.0,384.0,2908620.0,7345.0,396.0,3601677.0,7779.0,463.0,3070914.0,7854.0,391.0,2952576.0,7689.0,384.0,2964480.0,7720.0,384.0,3534895.0,7735.0,457.0,,-0.004379745934384505,-0.004379319798565651
2022-2-15,2929824.9444444445,7700.333333333333,"YU TAK COURT,ON MUK ST|愉德苑,安睦街",3542664.0,7752.0,457.0,2223364.0,7774.0,286.0,2269871.0,7747.0,293.0,2273502.0,7733.0,294.0,2165386.0,7706.0,281.0,2155832.0,7672.0,281.0,3063456.0,7736.0,396.0,3609576.0,7864.0,459.0,3629472.0,7856.0,462.0,3033567.0,7719.0,393.0,2825088.0,7357.0,384.0,2828160.0,7365.0,384.0,2921292.0,7377.0,396.0,3617419.0,7813.0,463.0,3084599.0,7889.0,391.0,2965632.0,7723.0,384.0,2977536.0,7754.0,384.0,3550433.0,7769.0,457.0,,-0.04443026929306648,-0.04443264782731593
