,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2020-12-15,19517649.0,19809.0,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",20669874.0,19742.0,1047.0,18365424.0,19876.0,924.0,,0.008863613949054105,0.008861726508785361
2020-11-15,19346172.0,19635.0,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",20487696.0,19568.0,1047.0,18204648.0,19702.0,924.0,,-0.0450836361288649,-0.04508316311642835
2020-10-15,20259546.0,20562.0,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",21455124.0,20492.0,1047.0,19063968.0,20632.0,924.0,,0.012134647299390844,0.01213359257709623
2020-9-15,20016651.0,20315.5,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",21197562.0,20246.0,1047.0,18835740.0,20385.0,924.0,,0.004722509020110399,0.004723046488625204
2020-8-15,19922566.5,20220.0,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",21098097.0,20151.0,1047.0,18747036.0,20289.0,924.0,,-0.03426850828102601,-0.03426865671641788
2020-7-15,20629509.0,20937.5,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",21846702.0,20866.0,1047.0,19412316.0,21009.0,924.0,,0.01799036073912008,0.017989546614805008
2020-6-15,20264935.5,20567.5,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",21460359.0,20497.0,1047.0,19069512.0,20638.0,924.0,,-0.010226858044906861,-0.010226179018286818
2020-5-15,20474323.5,20780.0,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",21682323.0,20709.0,1047.0,19266324.0,20851.0,924.0,,0.013955233548719859,0.013955303991412205
2020-4-15,20192532.0,20494.0,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",21383928.0,20424.0,1047.0,19001136.0,20564.0,924.0,,-0.030121401182123697,-0.03012233501336925
2020-3-15,20819649.0,21130.5,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",22047726.0,21058.0,1047.0,19591572.0,21203.0,924.0,,0.02109306324034632,0.021093070455204366
2020-2-15,20389570.5,20694.0,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",21592281.0,20623.0,1047.0,19186860.0,20765.0,924.0,,0.00031577577815067315,0.00031419939577048694
2020-1-15,20383134.0,20687.5,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",21584952.0,20616.0,1047.0,19181316.0,20759.0,924.0,,-0.021753683247384026,-0.02175198013949642
2019-12-15,20836402.5,21147.5,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",22065525.0,21075.0,1047.0,19607280.0,21220.0,924.0,,-0.000567242439807325,-0.0005671211512559005
2019-11-15,20848228.5,21159.5,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",22078089.0,21087.0,1047.0,19618368.0,21232.0,924.0,,0.03507543138758362,0.03507398801516448
2019-10-15,20141748.0,20442.5,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",21329484.0,20372.0,1047.0,18954012.0,20513.0,924.0,,-0.024783787328741314,-0.024782940559106903
2019-9-15,20653623.0,20962.0,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",21871830.0,20890.0,1047.0,19435416.0,21034.0,924.0,,0.01182860200276048,0.011826036588309163
2019-8-15,20412175.5,20717.0,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",21615315.0,20645.0,1047.0,19209036.0,20789.0,924.0,,-0.049134278023256095,-0.04913367756741249
2019-7-15,21466938.0,21787.5,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",22732464.0,21712.0,1047.0,20201412.0,21863.0,924.0,,0.01706120720164983,0.01706189898235455
2019-6-15,21106830.0,21422.0,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",22351356.0,21348.0,1047.0,19862304.0,21496.0,924.0,,,
2019-5-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2019-4-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2019-3-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2019-2-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2019-1-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2018-12-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2018-11-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2018-10-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2018-9-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2018-8-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2018-7-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2018-6-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2018-5-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2018-4-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2018-3-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2018-2-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2018-1-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2017-12-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2017-11-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2017-10-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2017-9-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2017-8-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2017-7-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2017-6-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2017-5-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2017-4-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2017-3-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2017-2-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2017-1-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2016-12-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2016-11-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2016-10-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2016-9-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2016-8-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2016-7-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2016-6-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2016-5-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2016-4-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2016-3-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2016-2-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,,,
2016-1-15,,,"ST. MORITZ(Block APEX 1),LAI PING RD|雲端APEX 1座,麗坪路",,,1047.0,,,924.0,985.5,,
