,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,nfa_avg,lumpSum_change,npsf_change
2020-12-15,4658562.875,14993.25,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4533825.0,14865.0,305.0,4320278.0,15266.0,283.0,4321127.0,15269.0,283.0,4765625.000000001,15625.0,305.0,5016320.0,15676.0,320.0,4912992.0,14622.0,336.0,5018496.0,14936.0,336.0,4379840.0,13687.0,320.0,,0.008858550752617766,0.008856703085968087
2020-11-15,4617657.125,14861.625,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4494480.0,14736.0,305.0,4282356.0,15132.0,283.0,4283205.0,15135.0,283.0,4723840.0,15488.0,305.0,4972480.0,15539.0,320.0,4869312.0,14492.0,336.0,4974144.0,14804.0,336.0,4341440.0,13567.0,320.0,,-0.041102742085479704,-0.041224144187734346
2020-10-15,4815591.125,15500.625,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4707675.0,15435.0,305.0,4484418.0,15846.0,283.0,4485267.0,15849.0,283.0,4946185.0,16217.0,305.0,5051840.0,15787.0,320.0,5096784.0,15169.0,336.0,5206320.0,15495.0,336.0,4546240.0,14207.0,320.0,,0.012419192480887853,0.012401417304834794
2020-9-15,4756519.0,15310.75,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4651860.0,15252.0,305.0,4430648.0,15656.0,283.0,4431497.0,15659.0,283.0,4885795.0,16019.0,305.0,4989120.0,15591.0,320.0,5031600.0,14975.0,336.0,5139792.0,15297.0,336.0,4491840.0,14037.0,320.0,,0.012442224546879155,0.01256551427673891
2020-8-15,4698064.625,15120.75,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4630815.0,15183.0,305.0,4409706.0,15582.0,283.0,4410555.0,15585.0,283.0,4582625.000000001,15025.0,305.0,4964480.0,15514.0,320.0,5004048.0,14893.0,336.0,5111568.0,15213.0,336.0,4470720.0,13971.0,320.0,,-0.03389577250388598,-0.0339104878126697
2020-7-15,4862896.25,15651.5,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4795820.0,15724.0,305.0,4565356.0,16132.0,283.0,4566488.0,16136.0,283.0,4743970.0,15554.0,305.0,5135360.0,16048.0,320.0,5178432.0,15412.0,336.0,5288304.0,15739.0,336.0,4629440.0,14467.0,320.0,,0.019658942702457827,0.019674907977458522
2020-6-15,4769140.0,15349.5,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4711640.0,15448.0,305.0,4483003.0,15841.0,283.0,4484418.0,15846.0,283.0,4610075.0,15115.0,305.0,5041920.0,15756.0,320.0,5084016.0,15131.0,336.0,5190528.0,15448.0,336.0,4547520.0,14211.0,320.0,,0.005101652647150123,0.004301954690439258
2020-5-15,4744933.0,15283.75,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4760745.0,15609.0,305.0,4526868.0,15996.0,283.0,4529132.0,16004.0,283.0,4655215.0,15263.0,305.0,4809920.0,15031.0,320.0,5133408.0,15278.0,336.0,4949616.0,14731.0,336.0,4594560.0,14358.0,320.0,,0.019097364986686793,0.018874213574434417
2020-4-15,4656015.375,15000.625,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4697000.0,15400.0,305.0,4462910.0,15770.0,283.0,4486399.0,15853.0,283.0,4589030.0,15046.0,305.0,4542720.0,14196.0,320.0,5059824.0,15059.0,336.0,4878720.0,14520.0,336.0,4531520.0,14161.0,320.0,,-0.023341607510742546,-0.022983358843260526
2020-3-15,4767291.625,15353.5,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4844620.0,15884.0,305.0,4599316.0,16252.0,283.0,4504511.0,15917.0,283.0,4591470.0,15054.0,305.0,4684160.0,14638.0,320.0,5213712.0,15517.0,336.0,5027904.0,14964.0,336.0,4672640.0,14602.0,320.0,,0.020799989936088892,0.02078502746681954
2020-2-15,4670152.5,15040.875,"GOLDEN FORTUNE COURT(Block E,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,E座(金福閣),1-3 隔田街",4745800.0,15560.0,305.0,4502247.0,15909.0,283.0,4411687.0,15589.0,283.0,4513390.0,14798.0,305.0,4587200.0,14335.0,320.0,5102832.0,15187.0,336.0,4922064.0,14649.0,336.0,4576000.0,14300.0,320.0,,0.00025605290432095806,0.0002493827776253177
