,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2022-12-15,17200838.666666668,15206.5,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",21158574.0,15861.0,1334.0,20263572.0,15156.0,1337.0,14816260.0,14540.0,1019.0,15640653.0,15141.0,1033.0,15103493.0,14621.0,1033.0,16222480.0,15920.0,1019.0,,0.009370452308534949,0.009370298256482723
2022-11-15,17041155.333333332,15065.333333333334,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",20962476.0,15714.0,1334.0,20075055.0,15015.0,1337.0,14678695.0,14405.0,1019.0,15496033.0,15001.0,1033.0,14963005.000000002,14485.0,1033.0,16071668.0,15772.0,1019.0,,-0.06475945289246843,-0.06475877124913343
2022-10-15,18221146.833333332,16108.5,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",22413868.0,16802.0,1334.0,21465535.0,16055.0,1337.0,15694638.0,15402.0,1019.0,16569320.0,16040.0,1033.0,15999104.0,15488.0,1033.0,17184416.0,16864.0,1019.0,,0.012826202940290576,0.012826558521173315
2022-9-15,17990398.333333332,15904.5,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",22129726.0,16589.0,1334.0,21194124.0,15852.0,1337.0,15495933.0,15207.0,1019.0,16359621.0,15837.0,1033.0,15796636.0,15292.0,1033.0,16966350.0,16650.0,1019.0,,-0.037297089034223574,-0.037296719260723976
2022-8-15,18687383.333333332,16520.666666666668,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",22987488.0,17232.0,1334.0,22015042.0,16466.0,1337.0,16097143.0,15797.0,1019.0,16992850.0,16450.0,1033.0,16408172.0,15884.0,1033.0,17623605.0,17295.0,1019.0,,-0.05362623192785154,-0.0536275193095348
2022-7-15,19746303.166666668,17456.833333333332,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",24289472.0,18208.0,1334.0,23262463.0,17399.0,1337.0,17009148.0,16692.0,1019.0,17955606.0,17382.0,1033.0,17338905.0,16785.0,1033.0,18622225.0,18275.0,1019.0,,0.05835270942923865,0.05835337388598094
2022-6-15,18657582.666666668,16494.333333333332,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",22950135.999999996,17204.0,1334.0,21980280.0,16440.0,1337.0,16071668.0,15772.0,1019.0,16965992.0,16424.0,1033.0,16382347.0,15859.0,1033.0,17595073.0,17267.0,1019.0,,-0.08013887166847411,-0.08013904896456858
2022-5-15,20283042.833333332,17931.333333333332,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",24949802.0,18703.0,1334.0,23894864.0,17872.0,1337.0,17471773.999999996,17146.0,1019.0,18444215.0,17855.0,1033.0,17809953.0,17241.0,1033.0,19127649.0,18771.0,1019.0,,0.01665888358729828,0.016669186573934125
2022-4-15,19950686.666666668,17637.333333333332,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",24542932.0,18398.0,1334.0,23505797.0,17581.0,1337.0,17186454.0,16866.0,1019.0,18143612.0,17564.0,1033.0,17519680.0,16960.0,1033.0,18805645.0,18455.0,1019.0,,0.002089707884161296,0.0020927435773603342
2022-3-15,19909082.5,17600.5,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",24492240.0,18360.0,1334.0,23457665.0,17545.0,1337.0,17149770.0,16830.0,1019.0,18106424.0,17528.0,1033.0,17482492.0,16924.0,1033.0,18765904.0,18416.0,1019.0,,-0.004375175123774944,-0.004374593417368233
2022-2-15,19996571.0,17677.833333333332,"MOUNT ARCADIA(Block 1),TAI PO RD SHATIN HEIGHTS|畢架•金峰1座,大埔公路沙田嶺段",24600294.0,18441.0,1334.0,23560613.999999996,17622.0,1337.0,17225176.0,16904.0,1019.0,18185965.0,17605.0,1033.0,17558934.0,16998.0,1033.0,18848443.0,18497.0,1019.0,,-0.044415071983215704,-0.04441561483643708
