,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4017935.0,13025.875,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",4098299.9999999995,13661.0,300.0,3900120.0,13929.0,280.0,3754240.0,13408.0,280.0,3566100.0,11887.0,300.0,4205120.0,13141.0,320.0,4293744.0,12779.0,336.0,4141535.9999999995,12326.0,336.0,4184320.0,13076.0,320.0,,0.009343993665497763,0.009356747803682675
2022-11-15,3980739.0,12905.125,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",4060200.0,13534.0,300.0,3863720.0,13799.0,280.0,3718120.0,13279.0,280.0,3531600.0000000005,11772.0,300.0,4166400.0,13020.0,320.0,4255104.0,12664.0,336.0,4103568.0,12213.0,336.0,4147200.0,12960.0,320.0,,-0.06540065268940909,-0.06531166538409305
2022-10-15,4259300.0,13806.875,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",4308300.0,14361.0,300.0,4131400.0,14755.0,280.0,3974600.0,14195.0,280.0,3774900.0,12583.0,300.0,4455040.0,13922.0,320.0,4551120.0,13545.0,336.0,4388160.0,13060.0,336.0,4490880.0,14034.0,320.0,,0.01278060981552831,0.012791124151843025
2022-9-15,4205550.5,13632.5,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",4253400.0,14178.0,300.0,4079600.0000000005,14570.0,280.0,3923080.0,14011.0,280.0,3725700.0,12419.0,300.0,4399680.0,13749.0,320.0,4495008.0,13378.0,336.0,4333056.0,12896.0,336.0,4434880.0,13859.0,320.0,,-0.037199746659858146,-0.03720182919293047
2022-8-15,4368040.5,14159.25,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",4417500.0,14725.0,300.0,4238360.0,15137.0,280.0,4074000.0,14550.0,280.0,3868800.0,12896.0,300.0,4570880.0,14284.0,320.0,4666032.0,13887.0,336.0,4501392.0,13397.0,336.0,4607360.0,14398.0,320.0,,-0.05444295127092691,-0.05452147638682536
2022-7-15,4619542.0,14975.75,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",4667400.0,15558.0,300.0,4511360.0,16112.0,280.0,4303600.0,15370.0,280.0,4086600.0,13622.0,300.0,4830720.0,15096.0,320.0,4930128.0,14673.0,336.0,4757088.0,14158.0,336.0,4869440.0,15217.0,320.0,,0.058396395688417035,0.05840363973673757
2022-6-15,4364661.5,14149.375,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",4409700.0,14699.0,300.0,4262440.0,15223.0,280.0,4065320.0,14519.0,280.0,3859800.0,12866.0,300.0,4565120.0,14266.0,320.0,4657968.0,13863.0,336.0,4495344.0,13379.0,336.0,4601600.0,14380.0,320.0,,-0.08011822187920392,-0.08011182173534981
2022-5-15,4744807.0,15381.625,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",4793400.0,15978.0,300.0,4633440.0,16548.0,280.0,4418680.0,15781.0,280.0,4194600.0,13982.0,300.0,4963840.0,15512.0,320.0,5063520.0,15070.0,336.0,4887456.0,14546.0,336.0,5003520.0,15636.0,320.0,,0.016230906477359364,0.01621947493166176
2022-4-15,4669024.5,15136.125,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",4714800.0,15716.0,300.0,4557840.0,16278.0,280.0,4347560.0,15527.0,280.0,4137900.0,13793.0,300.0,4883840.0,15262.0,320.0,4979856.0,14821.0,336.0,4808160.0,14310.0,336.0,4922240.0,15382.0,320.0,,0.0027565458837102153,0.0027244120569724917
2022-3-15,4656189.5,15095.0,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",4704300.0,15681.0,300.0,4548040.0,16243.0,280.0,4339440.0,15498.0,280.0,4132200.0,13774.0,300.0,4874240.0,15232.0,320.0,4967424.0,14784.0,336.0,4798752.0,14282.0,336.0,4885120.0,15266.0,320.0,,-0.0044557132316263015,-0.004459979719870444
2022-2-15,4677029.0,15162.625,"GOLDEN WEALTH COURT(Block A,Phase 2,GOLDEN LION GARDEN),1-3 KAK TIN ST|金獅花園,2期,A座(金富閣),1-3 隔田街",4724700.0,15749.0,300.0,4567920.0,16314.0,280.0,4359320.0,15569.0,280.0,4152900.0,13843.0,300.0,4896640.0,15302.0,320.0,4987920.0,14845.0,336.0,4820592.0,14347.0,336.0,4906240.0,15332.0,320.0,,-0.04476475818575054,-0.04474614712205571
