,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,nfa_avg,lumpSum_change,npsf_change
2022-12-15,3657315.875,12952.125,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",3597147.0,12893.0,279.0,3786639.9999999995,13240.0,286.0,3512115.0,13773.0,255.0,3578175.0000000005,12825.0,279.0,3703167.0,13273.0,279.0,3611154.0,11918.0,303.0,3802953.0,12551.0,303.0,3667176.0,13144.0,279.0,,0.002458167620471796,0.0025834542815674766
2022-11-15,3648347.625,12918.75,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",3565620.0,12780.0,279.0,3856710.0,13485.0,286.0,3479730.0000000005,13646.0,255.0,3546648.0,12712.0,279.0,3668850.0,13150.0,279.0,3618123.0,11941.0,303.0,3770532.0,12444.0,303.0,3680568.0,13192.0,279.0,,-0.0645542234265879,-0.06454503489287755
2022-10-15,3900116.625,13810.125,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",3814488.0,13672.0,279.0,4123548.0,14418.0,286.0,3720960.0,14592.0,255.0,3780450.0,13550.0,279.0,3923019.0,14061.0,279.0,3868704.0000000005,12768.0,303.0,4034748.0,13316.0,303.0,3935016.0,14104.0,279.0,,0.012538026237515654,0.01253746116411425
2022-9-15,3851822.375,13639.125,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",3768732.0,13508.0,279.0,4071496.0,14236.0,286.0,3675570.0,14414.0,255.0,3732741.0,13379.0,279.0,3874473.0,13887.0,279.0,3819921.0,12607.0,303.0,3986571.0,13157.0,303.0,3885075.0,13925.0,279.0,,-0.04083293630775986,-0.0408744495134622
2022-8-15,4015799.25,14220.375,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4025133.0,14427.0,279.0,4229082.0,14787.0,286.0,3820410.0,14982.0,255.0,3877821.0,13899.0,279.0,4025970.0,14430.0,279.0,3967785.0,13095.0,303.0,4144736.9999999995,13679.0,303.0,4035456.0000000005,14464.0,279.0,,-0.05821519515939222,-0.05826890283273456
2022-7-15,4264030.625,15100.25,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4254750.0,15250.0,279.0,4468750.0,15625.0,286.0,4039455.0,15841.0,255.0,4190859.0,15021.0,279.0,4318641.0,15479.0,279.0,4192914.0,13838.0,303.0,4383198.0,14466.0,303.0,4263678.0,15282.0,279.0,,0.05816365441787141,0.05816296140572175
2022-6-15,4029651.375,14270.25,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4021506.0,14414.0,279.0,4222218.0,14763.0,286.0,3818880.0,14976.0,255.0,3959289.0000000005,14191.0,279.0,4080375.0,14625.0,279.0,3961725.0,13075.0,303.0,4144737.0000000005,13679.0,303.0,4028481.0,14439.0,279.0,,-0.07988092332233276,-0.07975430450764176
2022-5-15,4379489.0,15507.0,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4372767.0,15673.0,279.0,4589728.0,16048.0,286.0,4153440.0,16288.0,255.0,4231314.0,15166.0,279.0,4435821.0,15899.0,279.0,4306842.0,14214.0,303.0,4566816.0,15072.0,303.0,4379184.0,15696.0,279.0,,0.013828363080060857,0.013794456066945626
2022-4-15,4319753.875,15296.0,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4392297.0,15743.0,279.0,4514510.0,15785.0,286.0,4087140.0,16028.0,255.0,4162122.0,14918.0,279.0,4363560.0,15640.0,279.0,4236546.0,13982.0,303.0,4494096.0,14832.0,303.0,4307760.0,15440.0,279.0,,0.0020710939197670086,0.0020718175490317403
2022-3-15,4310825.75,15264.375,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4382253.0,15707.0,279.0,4504786.0,15751.0,286.0,4079745.0,15999.0,255.0,4152915.0,14885.0,279.0,4354353.0,15607.0,279.0,4227759.0,13953.0,303.0,4486521.0,14807.0,303.0,4298274.0,15406.0,279.0,,-0.004094990330049564,-0.004118414614255439
2022-2-15,4328551.125,15327.5,"GOLDEN GLORY COURT(Block E,Phase 1,GOLDEN LION GARDEN),5-7 CHUI TIN ST|金獅花園,1期,E座(金輝閣),5-7 翠田街",4400946.0,15774.0,279.0,4524234.0,15819.0,286.0,4099125.0,16075.0,255.0,4171050.0,14950.0,279.0,4373325.0,15675.0,279.0,4234728.0,13976.0,303.0,4508034.0,14878.0,303.0,4316967.0,15473.0,279.0,,-0.042442141892371166,-0.04233800110901975
