,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,9479893.333333334,19300.666666666668,6,56879360.0,115804.0,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",9705850.0,17647.0,550.0,8479494.0,19674.0,431.0,12755166.0,17642.0,723.0,7026903.0,21489.0,327.0,12192493.0,17393.0,701.0,6719454.0,21959.0,306.0,-0.0009616028409542565,-0.0009662169156974265
2019-11-15,9489018.0,19319.333333333332,6,56934108.0,115916.0,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",9715200.0,17664.0,550.0,8488114.0,19694.0,431.0,12766734.0,17658.0,723.0,7033770.0,21510.0,327.0,12204410.0,17410.0,701.0,6725880.0,21980.0,306.0,0.03463940121216913,0.03464096041415621
2019-10-15,9171328.666666666,18672.5,6,55027972.0,112035.0,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",9389600.0,17072.0,550.0,8204516.0,19036.0,431.0,12339441.0,17067.0,723.0,6798330.0,20790.0,327.0,11795727.0,16827.0,701.0,6500358.0,21243.0,306.0,-0.03997608068866643,-0.0397932772244981
2019-9-15,9553229.333333334,19446.333333333332,6,57319376.0,116678.0,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",9774050.0,17771.0,550.0,8541127.0,19817.0,431.0,12844818.0,17766.0,723.0,7076934.0,21642.0,327.0,12315869.0,17569.0,701.0,6766578.0,22113.0,306.0,0.027750350482463437,0.027855104126290664
2019-8-15,9295282.0,18919.333333333332,6,55771692.0,113516.0,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",9511700.0,17294.0,550.0,8312697.0,19287.0,431.0,12499947.0,17289.0,723.0,6875829.0,21027.0,327.0,11986399.0,17099.0,701.0,6585120.0,21520.0,306.0,-0.04887689873082035,-0.04868217054263568
2019-7-15,9772953.666666666,19887.5,6,58637722.0,119325.0,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",10003950.0,18189.0,550.0,8743266.0,20286.0,431.0,13146309.0,18183.0,723.0,7231605.0,22115.0,327.0,12606784.0,17984.0,701.0,6905808.0,22568.0,306.0,0.0169051969082592,0.016907986125906715
2019-6-15,9610486.5,19556.833333333332,6,57662919.0,117341.0,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",9837300.0,17886.0,550.0,8598450.0,19950.0,431.0,12927963.0,17881.0,723.0,7111269.0,21747.0,327.0,12397185.0,17685.0,701.0,6790752.0,22192.0,306.0,-0.01150274165533094,-0.011507324757596527
2019-5-15,9722319.833333334,19784.5,6,58333919.0,118707.0,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",9951700.0,18094.0,550.0,8699304.0,20184.0,431.0,13077624.0,18088.0,723.0,7194000.0,22000.0,327.0,12541591.0,17891.0,701.0,6869700.0,22450.0,306.0,,
2019-4-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2019-3-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2019-2-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2019-1-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2018-12-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2018-11-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2018-10-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2018-9-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2018-8-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2018-7-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2018-6-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2018-5-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2018-4-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2018-3-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2018-2-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2018-1-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2017-12-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2017-11-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2017-10-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2017-9-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2017-8-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2017-7-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2017-6-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2017-5-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
2017-4-15,,,6,,,3038,"THE PAVILIA FARM I(Block 3B,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,3B座(柏傲莊 I),車公廟路",,,550.0,,,431.0,,,723.0,,,327.0,,,701.0,,,306.0,,
