,A,B,B & C,BC,C,D,E,F,G,H
14.0,469,504,1008,1008,504,712,712,504,501,469
28.0,469,504,1008,1008,504,712,712,504,501,469
42.0,469,504,1008,1008,504,712,712,504,501,469
