,A,B,C,CD,D,E,EF,F,G,H
16.0,16011,16654,16446,16017,15840,15055,14851,15788,15766,16173
28.0,16134,17301,17060,16614,16327,15377,15375,16278,15988,17013
40.0,16577,17513,16739,17195,16604,16052,15918,16493,16559,17413
