,A,B,C,D,E,F,G,H
16.0,12615858,12676815,11193597,10959732,11199816,11005641,10906896,8709202
28.0,13154646,13219200,10964100,11526084,11723760,10923921,11368614,9074413
39.0,13888875,14011921,12104775,12636900,12160836,11306643,11882769,9395356
