,A,B,C,D,E,F,G,GH,H
16.0,8410986,8119904,7963296,10514448,10514448,8239440,8462076,17267368,8408898
28.0,8582202,8390812,8359824,11174508,11060280,8577888,8241996,17829070,8369748
40.0,8779518,8718836,8689824,11678616,11487780,8873568,8570020,18537212,8695998
