,A,B,C,D,E,F,G,GH,H
16.0,17190,16235,16301,16077,16077,15121,15353,17013,16172
30.0,15770,15140,17115,14931,15082,15606,16192,15476,17105
43.0,16925,15731,16804,15496,15662,16193,16445,16437,18043
