,A,B,C,D,E,F,G,H,I,J
9.0,6128487,5066314,5141050,5197175,4615844,6185583,6170472,5841143,6118189,6031410
22.0,6369498,5185036,5024310,5044066,4800663,6413418,6354271,6266414,6340796,6327321
34.0,6239385,5342911,5159010,5161704,4925700,6366753,6372058,6153224,6537531,6211975
