,A,B,C,D,E,F,G,H
6.0,11853,12507,14058,14454,12244,11901,14109,13782
16.0,12666,11852,14709,14669,12817,12763,14373,14156
27.0,13138,13134,15196,14611,12379,13504,14748,14381
