,A,B,C,CD,D,E,EF,F,G,H
8.0,14982,15962,14985,15447,15107,15174,15447,14544,14847,15374
20.0,15704,17150,15671,16215,15798,16180,16241,15157,15377,16313
32.0,16254,17610,16543,16968,16521,16487,16987,16253,16702,16704
