,A,B,D,E,F,G,H,J,K
5.0,5392672,5897540,6741340,6870550,5408619,5921740,6842230,6870550,6895920
12.0,5536626,6053388,6885890,7432820,5649117,6183584,7359660,6993860,7402140
19.0,5672822,6198104,7050500,7608050,5703854,6327332,7533120,7608050,7589760
