,A,B,C,D,E,F,H
6.0,5440680,6558200,5925150,7745925,7868211,5847600,5564160
17.0,5620104,6825500,6119300,8034465,8169117,6037900,5717376
28.0,5780376,7091700,6295850,8334684,8454909,6210050,5863032
