,A,B,B & C,BC,C,D,E,F,G,H
14.0,5559057,5832288,12001248,12001248,5745096,8358168,8368136,5791968,5745969,5906117
28.0,5786522,5967864,12605040,12605040,5744592,8598824,8614488,5847408,5889756,5858748
42.0,6314147,6275808,13179600,13179600,6072192,9012496,8897864,6217848,6073623,6101221
