,A,B,C,CD,D,E,EF,F,G,H
8.0,870,857,543,1139,536,536,1139,543,857,859
20.0,859,857,543,1139,536,536,1139,543,857,859
32.0,859,857,543,1139,536,536,1139,543,857,859
